"id","path_id","level_id","component_added","stress","median","verification","diff","pdiff","context_name","context_type","bst_component_type","example","classification"
"19a27b3664cc8f70c4989a11606c3bc3949e60e",4,49,"p.bst.6.pred.acc.142",28,51152692,"gradual",45420301,792.3,"bst","pred","acc","bst","max"
"19a27b3664cc8f70c4989a11606c3bc3949e60e",4,49,"p.bst.6.pred.acc.142",32,59029293,"gradual",52713297,834.6,"bst","pred","acc","bst","max"
"19a27b3664cc8f70c4989a11606c3bc3949e60e",4,49,"p.bst.6.pred.acc.142",36,91119795,"gradual",83299591,1065.2,"bst","pred","acc","bst","max"
"19a27b3664cc8f70c4989a11606c3bc3949e60e",4,49,"p.bst.6.pred.acc.142",40,101723108,"gradual",93381736,1119.5,"bst","pred","acc","bst","max"
"19a27b3664cc8f70c4989a11606c3bc3949e60e",4,49,"p.bst.6.pred.acc.142",44,140508766,"gradual",130334253,1281,"bst","pred","acc","bst","max"
"19a27b3664cc8f70c4989a11606c3bc3949e60e",4,49,"p.bst.6.pred.acc.142",48,134341327,"gradual",124482748,1262.7,"bst","pred","acc","bst","max"
"19a27b3664cc8f70c4989a11606c3bc3949e60e",4,49,"p.bst.6.pred.acc.142",52,203257245,"gradual",190331639,1472.5,"bst","pred","acc","bst","max"
"19a27b3664cc8f70c4989a11606c3bc3949e60e",4,49,"p.bst.6.pred.acc.142",56,304468685,"gradual",288736992,1835.4,"bst","pred","acc","bst","max"
"19a27b3664cc8f70c4989a11606c3bc3949e60e",4,49,"p.bst.6.pred.acc.142",60,419890131,"gradual",400948963,2116.8,"bst","pred","acc","bst","max"
"19a27b3664cc8f70c4989a11606c3bc3949e60e",4,49,"p.bst.6.pred.acc.142",64,477268778,"gradual",456669847,2217,"bst","pred","acc","bst","max"
"37550d3f0bb9965adb359af3ab98f9fa3ad4a",6,57.9,"p.bst.6.pred.pred_inst.137",44,45744212,"gradual",37515829,455.9,"bst","pred","pred_inst","bst","max"
"37550d3f0bb9965adb359af3ab98f9fa3ad4a",6,57.9,"p.bst.6.pred.pred_inst.137",48,45651134,"gradual",36935462,423.8,"bst","pred","pred_inst","bst","max"
"37550d3f0bb9965adb359af3ab98f9fa3ad4a",6,57.9,"p.bst.6.pred.pred_inst.137",52,67088992,"gradual",57312734,586.2,"bst","pred","pred_inst","bst","max"
"37550d3f0bb9965adb359af3ab98f9fa3ad4a",6,57.9,"p.bst.6.pred.pred_inst.137",56,98367397,"gradual",86223028,710,"bst","pred","pred_inst","bst","max"
"37550d3f0bb9965adb359af3ab98f9fa3ad4a",6,57.9,"p.bst.6.pred.pred_inst.137",60,131612382,"gradual",117499143,832.5,"bst","pred","pred_inst","bst","max"
"37550d3f0bb9965adb359af3ab98f9fa3ad4a",6,57.9,"p.bst.6.pred.pred_inst.137",64,154056083,"gradual",138104739,865.8,"bst","pred","pred_inst","bst","max"
"1f33c1ef4ed3ee33de95b439fd69b7218ce4b8a",1,60.7,"m.tree_main_lemma_bst.1.pre.pred_inst.40",44,34643366,"gradual",29052129,519.6,"tree_main_lemma_bst","pre","pred_inst","bst","max"
"1f33c1ef4ed3ee33de95b439fd69b7218ce4b8a",1,60.7,"m.tree_main_lemma_bst.1.pre.pred_inst.40",52,48243477,"gradual",41298868,594.7,"tree_main_lemma_bst","pre","pred_inst","bst","max"
"1f33c1ef4ed3ee33de95b439fd69b7218ce4b8a",1,60.7,"m.tree_main_lemma_bst.1.pre.pred_inst.40",56,68418530,"gradual",61339104,866.4,"tree_main_lemma_bst","pre","pred_inst","bst","max"
"1f33c1ef4ed3ee33de95b439fd69b7218ce4b8a",1,60.7,"m.tree_main_lemma_bst.1.pre.pred_inst.40",60,96430281,"gradual",86098024,833.3,"tree_main_lemma_bst","pre","pred_inst","bst","max"
"1f33c1ef4ed3ee33de95b439fd69b7218ce4b8a",1,60.7,"m.tree_main_lemma_bst.1.pre.pred_inst.40",64,110542794,"gradual",99858980,934.7,"tree_main_lemma_bst","pre","pred_inst","bst","max"
"37572d3f9bb9975adbbdbaf3ab98f9fa3ad4a",6,63.4,"m.tree_add_helper.2.post.pred_inst.23",56,137925591,"gradual",27963529,25.4,"tree_add_helper","post","pred_inst","bst","max"
"37572d3f9bb9975adbbdbaf3ab98f9fa3ad4a",6,63.4,"m.tree_add_helper.2.post.pred_inst.23",60,178054351,"gradual",32685711,22.5,"tree_add_helper","post","pred_inst","bst","max"
"37572d3f9bb9975adbbdbaf3ab98f9fa3ad4a",6,63.4,"m.tree_add_helper.2.post.pred_inst.23",64,202495145,"gradual",30421870,17.7,"tree_add_helper","post","pred_inst","bst","max"
"3757ad3f9bb9975adbbdbaf3ab98f9fa3ef4a",6,65.5,"p.bstRemove.6.pred.pred_inst.143",44,105366388,"gradual",43004303,69,"bstRemove","pred","pred_inst","bst","max"
