"conjuncts","type","path_id","level_id","example"
140,"static",0,1,"bst"
140,"static",6,1,"bst"
142,"static",0,2,"bst"
142,"static",0,3,"bst"
142,"static",0,4,"bst"
144,"static",0,5,"bst"
144,"static",0,6,"bst"
144,"static",0,7,"bst"
146,"static",0,8,"bst"
145,"static",0,9,"bst"
149,"static",0,10,"bst"
149,"static",0,11,"bst"
151,"static",0,12,"bst"
150,"static",0,13,"bst"
150,"static",0,14,"bst"
150,"static",0,15,"bst"
152,"static",0,16,"bst"
152,"static",0,17,"bst"
154,"static",0,18,"bst"
158,"static",0,19,"bst"
158,"static",0,20,"bst"
161,"static",0,21,"bst"
164,"static",0,22,"bst"
166,"static",0,23,"bst"
166,"static",0,24,"bst"
168,"static",0,25,"bst"
168,"static",0,26,"bst"
171,"static",0,27,"bst"
169,"static",0,28,"bst"
169,"static",0,29,"bst"
177,"static",0,30,"bst"
180,"static",0,31,"bst"
182,"static",0,32,"bst"
182,"static",0,33,"bst"
179,"static",0,34,"bst"
181,"static",0,35,"bst"
184,"static",0,36,"bst"
181,"static",0,37,"bst"
181,"static",0,38,"bst"
183,"static",0,39,"bst"
184,"static",0,40,"bst"
184,"static",0,41,"bst"
188,"static",0,42,"bst"
190,"static",0,43,"bst"
192,"static",0,44,"bst"
192,"static",0,45,"bst"
194,"static",0,46,"bst"
194,"static",0,47,"bst"
198,"static",0,48,"bst"
198,"static",0,49,"bst"
191,"static",0,50,"bst"
192,"static",0,51,"bst"
195,"static",0,52,"bst"
198,"static",0,53,"bst"
198,"static",0,54,"bst"
199,"static",0,55,"bst"
205,"static",0,56,"bst"
210,"static",0,57,"bst"
210,"static",0,58,"bst"
210,"static",0,59,"bst"
212,"static",0,60,"bst"
224,"static",0,61,"bst"
226,"static",0,62,"bst"
237,"static",0,63,"bst"
238,"static",0,64,"bst"
248,"static",0,65,"bst"
256,"static",0,66,"bst"
263,"static",0,67,"bst"
263,"static",0,68,"bst"
265,"static",0,69,"bst"
265,"static",0,70,"bst"
265,"static",0,71,"bst"
272,"static",0,72,"bst"
273,"static",0,73,"bst"
